"Key","Type","Character","Name"
"00_0_0000","Capsule/Item","","Master Roshi Training"
"00_0_0001","Capsule/Item","","00_0_0001"
"00_0_0002","Capsule/Item","","00_0_0002"
"00_0_0003","Capsule/Item","","00_0_0003"
"00_0_0004","Capsule/Item","","00_0_0004"
"00_0_0005","Capsule/Item","","Rush Attack Boost 1"
"00_0_0006","Capsule/Item","","Rush Attack Boost 2"
"00_0_0007","Capsule/Item","","Rush Attack Boost 3"
"00_0_0011","Capsule/Item","","Smash Attack Boost 1"
"00_0_0012","Capsule/Item","","Smash Attack Boost 2"
"00_0_0013","Capsule/Item","","Smash Attack Boost 3"
"00_0_0014","Capsule/Item","","Ki Blast Attack Boost 1"
"00_0_0015","Capsule/Item","","Ki Blast Attack Boost 2"
"00_0_0016","Capsule/Item","","Ki Blast Attack Boost 3"
"00_0_0023","Capsule/Item","","Power Unleashed"
"00_0_0024","Capsule/Item","","Finishing Blow"
"00_0_0026","Capsule/Item","","Blast Burst"
"00_0_0027","Capsule/Item","","Ultimate Burst"
"00_0_0028","Capsule/Item","","Blast Attack Boost 1"
"00_0_0029","Capsule/Item","","Blast Attack Boost 2"
"00_0_0030","Capsule/Item","","Blast Attack Boost 3"
"00_0_0031","Capsule/Item","","Super Warrior"
"00_0_0032","Capsule/Item","","Draconic Aura"
"00_0_0033","Capsule/Item","","Light Body"
"00_0_0034","Capsule/Item","","00_0_0034"
"00_0_0035","Capsule/Item","","Dragon Rush"
"00_0_0037","Capsule/Item","","The Secret to Counters"
"00_0_0038","Capsule/Item","","Fury!"
"00_0_0039","Capsule/Item","","Active Heart"
"00_0_0040","Capsule/Item","","Indomitable Fighting Spirit"
"00_0_0041","Capsule/Item","","Warming Up"
"00_0_0042","Capsule/Item","","Ready for Anything"
"00_0_0044","Capsule/Item","","00_0_0044"
"00_0_0046","Capsule/Item","","Z-Burst Dash Master"
"00_0_0047","Capsule/Item","","The Secret to Z-Burst Dashes"
"00_0_0048","Capsule/Item","","Proof of Friendship"
"00_0_0049","Capsule/Item","","00_0_0049"
"00_0_0050","Capsule/Item","","00_0_0050"
"00_0_0051","Capsule/Item","","00_0_0051"
"00_0_0052","Capsule/Item","","00_0_0052"
"00_0_0053","Capsule/Item","","00_0_0053"
"00_0_0055","Capsule/Item","","Dragon Spirit"
"00_0_0060","Capsule/Item","","00_0_0060"
"00_0_0061","Capsule/Item","","00_0_0061"
"00_0_0066","Capsule/Item","","Super Transformation"
"00_0_0068","Capsule/Item","","Fighting Spirit"
"00_0_0070","Capsule/Item","","Divine Blow"
"00_0_0072","Capsule/Item","","Rising Fighting Spirit"
"00_0_0074","Capsule/Item","","Power of Namek"
"00_0_0075","Capsule/Item","","Power of Earth"
"00_0_0076","Capsule/Item","","Power of the Universe"
"00_0_0082","Capsule/Item","","Perfect Guard"
"00_0_0092","Capsule/Item","","Crisis Avoided"
"00_0_0093","Capsule/Item","","Battle Control"
"00_0_0094","Capsule/Item","","Latent Power Unleashed 1"
"00_0_0095","Capsule/Item","","Latent Power Unleashed 2"
"00_0_0096","Capsule/Item","","Big Impact"
"00_0_0098","Capsule/Item","","Mind Breaker"
"00_0_0099","Capsule/Item","","Waters Blessing"
"00_0_0101","Capsule/Item","","Miracle Master"
"00_0_0102","Capsule/Item","","Latent Power!"
"00_0_0103","Capsule/Item","","Guard Master"
"00_0_0104","Capsule/Item","","Mirage"
"00_0_0111","Capsule/Item","","Dendes Healing Ability"
"00_0_0112","Capsule/Item","","Rising Tension"
"00_0_0113","Capsule/Item","","Melee Charge 1"
"00_0_0114","Capsule/Item","","Melee Charge 2"
"00_0_0115","Capsule/Item","","Melee Charge 3"
"00_0_0116","Capsule/Item","","Energy Saver 1"
"00_0_0117","Capsule/Item","","Energy Saver 2"
"00_0_0118","Capsule/Item","","Energy Saver 3"
"00_0_0119","Capsule/Item","","Ki Blast Charge 1"
"00_0_0120","Capsule/Item","","Ki Blast Charge 2"
"00_0_0121","Capsule/Item","","Ki Blast Charge 3"
"00_0_0122","Capsule/Item","","Dragon Assault"
"00_0_0123","Capsule/Item","","Power Body"
"00_0_0124","Capsule/Item","","Speed Up"
"00_0_0125","Capsule/Item","","Exquisite Skill"
"00_0_0126","Capsule/Item","","Ki Control"
"00_0_0127","Capsule/Item","","The Secret to Dragon Dashes"
"00_0_0128","Capsule/Item","","Savior"
"00_0_0129","Capsule/Item","","Combo Master"
"00_0_0130","Capsule/Item","","Combo King"
"00_0_0131","Capsule/Item","","God Ki"
"00_0_0132","Capsule/Item","","Sparking! Plus"
"00_0_0133","Capsule/Item","","Style of the Strong"
"00_0_0134","Capsule/Item","","Dragon Break"
"00_0_0135","Capsule/Item","","Dragon Crash"
"00_0_0136","Capsule/Item","","Vanishing Break"
"00_0_0137","Capsule/Item","","Vanishing Crash"
"00_0_0138","Capsule/Item","","Secret Measures"
"00_0_0139","Capsule/Item","","Rush Ki Blast 1"
"00_0_0140","Capsule/Item","","Rush Ki Blast Count Boost"
"00_0_0141","Capsule/Item","","Master Strike"
"00_0_0142","Capsule/Item","","Master Ki Blast"
"00_0_0143","Capsule/Item","","Master Throw"
"00_0_0144","Capsule/Item","","High-Speed Movement Master"
"00_0_0145","Capsule/Item","","The Secret to High-Speed Movements"
"00_0_0146","Capsule/Item","","Super Movement Master"
"00_0_0147","Capsule/Item","","The Secret to Super Movements"
"00_0_0148","Capsule/Item","","Performer"
"00_0_0149","Capsule/Item","","Dragon Heart"
"00_0_0150","Capsule/Item","","King Kai Training"
"00_0_0151","Capsule/Item","","God of Destruction Training"
"00_0_0152","Capsule/Item","","Almighty Boost"
"00_0_0153","Capsule/Item","","Super Sparking!"
"00_0_0154","Capsule/Item","","00_0_0154"
"00_0_0155","Capsule/Item","","Brolys Ring"
"00_0_1000","Capsule/Item","","00_0_1000"
"00_0_1001","Capsule/Item","","00_0_1001"
"00_0_1002","Capsule/Item","","00_0_1002"
"00_0_1003","Capsule/Item","","00_0_1003"
"00_0_1004","Capsule/Item","","00_0_1004"
"00_0_1005","Capsule/Item","","00_0_1005"
"00_0_1006","Capsule/Item","","00_0_1006"
